Wall time,Step,Value
1712470297.8048697,500,2.3132011890411377
1712470356.310177,1000,1.9721424579620361
1712470414.6294897,1500,1.786912441253662
1712470472.950088,2000,1.6133750677108765
1712470531.1817243,2500,1.5074188709259033
1712470589.5239484,3000,1.4315299987792969
1712470647.7486424,3500,1.3974299430847168
1712470706.0792007,4000,1.3573819398880005
1712470764.2758906,4500,1.3310072422027588
1712470822.6812694,5000,1.3018180131912231
1712470880.9865603,5500,1.2851375341415405
1712470939.2351758,6000,1.2647379636764526
1712470997.4417136,6500,1.2509920597076416
1712471055.6661055,7000,1.2558032274246216
1712471113.8560553,7500,1.2341078519821167
1712471172.0726104,8000,1.2285224199295044
1712471230.2440064,8500,1.2190494537353516
1712471288.4404655,9000,1.2084684371948242
1712471346.700941,9500,1.2059696912765503
1712471404.8528361,10000,1.1940399408340454
